Acinopterus spatiosus
Acinopterus viridis
Acinopus giganteus
Acinopus picipes
Acisoma ascalaphoides
Acisoma attenboroughi
Acisoma inﬂatum
Acisoma panorpoides
Acisoma triﬁdum
Acisoma variegatum
Aciura coryli
Aciurina aplopappi
Aciurina bigeloviae
Acizzia jamatonica
Acizzia uncatoides
Aclastus borealis
Aclastus eugracilis
Aclastus gracilis
Aclastus longicauda
Aclastus micator
Aclastus minutus
Aclastus solutus
Aclastus transversalis
Acledra albocostata
Acleris abietana
Acleris aenigmana
Acleris afﬁnatana
Acleris albicomana
Acleris amurensis
Acleris arcticana
Acleris aspersana
Acleris aurichalcana
Acleris bergmanniana
Acleris boscanoides
Acleris bowmanana
Acleris britannia
Acleris busckana
Acleris caledoniana
Acleris caliginosana
Acleris capizziana
Acleris caryosphena
Acleris celiana
Acleris cervinana
Acleris chalybeana
Acleris clarkei
Acleris comandrana
Acleris comariana
Acleris compsoptila
Acleris conchyloides
Acleris cornana
Acleris crataegi
Acleris cristana
Acleris curvalana
Acleris dealbata
Acleris delicatana
Acleris dentata
Acleris effractana
Acleris elegans
Acleris emargana
Acleris enitescens
Acleris ferrugana
Acleris ﬁlipjevi
Acleris ﬁmbriana
Acleris ﬂavivittana
Acleris foliana
Acleris forbesana
Acleris forsskaleana
Acleris fragariana
Acleris fuscana
Acleris gloverana
Acleris hastiana
Acleris hippophaeana
Acleris hudsoniana
Acleris hyemana
Acleris implexana
Acleris inana
Acleris issikii
Acleris kearfottana
Acleris keiferi
Acleris klotsi
Acleris kochiella
Acleris lacordairana
Acleris laterana
Acleris lipsiana
Acleris literana
Acleris logiana
Acleris lorquiniana
Acleris maccana
Acleris macdunnoughi
Acleris maculidorsana
Acleris maximana
Acleris minuta
Acleris negundana
Acleris nigrilineana
Acleris nigrolinea
Acleris nivisellana
Acleris notana
Acleris obligatoria
Acleris obtusana
Acleris okanagana
Acleris oxycoccana
Acleris paracinderella
Acleris paradiseana
Acleris permutana
Acleris platynotana
Acleris ptychogrammos
Acleris pulchella
Acleris quercinana
Acleris robinsoniana
Acleris roscidana
Acleris rufana
Acleris scabrana
Acleris schalleriana
Acleris semiannula
Acleris semipurpurana
Acleris senescens
Acleris shepherdana
Acleris simpliciana
Acleris sparsana
Acleris submaccana
Acleris subnivana
Acleris takeuchii
Acleris tigricolor
Acleris tripunctana
Acleris ulmicola
Acleris umbrana
Acleris undulana
Acleris variana
Acleris variegana
Acleris youngana
Acleros leucopyga
Acleros mackenii
Acleros ploetzi
Aclista alticollis
Aclista analis
Aclista angusta
Aclista atriceps
Aclista cantiana
Aclista clito
Aclista dubia
Aclista elevata
Aclista folia
Aclista janssoni
Aclista mycale
Aclista parvula
Aclista prolongata
Aclista rufopetiolata
Aclista striolata
Aclypea bituberosa
Aclypea opaca
Aclytia albistriga
Aclytia heber
Aclytia klagesi
Aclytia leucaspila
Aclytia punctata
Aclytia pydna
Aclytia reducta
Aclytia rufescens
